Text;Clase
"Ya tenemos en España a las 177 personas repatriadas en las últimas horas desde Afganistán. Son 110 afganos colaboradores de España y otros 67 colaboradores de EE.UU.

La ministra de @Defensagob y el JEMAD reciben a este séptimo avión en la Base Aérea de Torrejón.
Seguimos. https://t.co/lM3RxAGyoZ";immigracio
"""El futuro pertenece a los patriotas"". El mensaje esperanzador, de fuerza y de confianza en el futuro de Abascal a los españoles en el día de Santiago Apóstol, patrón de España. Por @rebecacrespo_ https://t.co/HfmlV1F5tS";presidencia
"El passat juliol, amb 112 vots a favor i 20 en contra, vam aprovar una moció de @cupnacional per impulsar una energètica pública.

Es evident (i urgent) que cal, quan abans millor, que es posi a caminar.

https://t.co/ntW5Bx8LB3";accio climatica alimentacio i agenda rural
".@educaciocat posa en marxa #UsApps la web app de denúncia de les situacions de violència en els centres educatius 
#LesEscolesLliuresDeViolències 
https://t.co/bUbVXg6jyq https://t.co/c9HWaaa5NK";educacio
@cuquemar Don @AntonioGalleg0 ????;autopromocio
"""L’augment previst de 17 milions de passatgers significaria un augment del 33% de les emissions de diòxid de carboni. I estem en una situació en què ja hauríem de reduir cada any les emissions de CO2 un 7,5% a nivell global, segons l’ONU."" @niunpamdeterra https://t.co/FebhkxRkHj https://t.co/vddEhLIHrC";accio climatica alimentacio i agenda rural
"??[VÍDEO]@junqueras a @LaVanguardia:""Nuestro compromiso con la Amnistia es absoluto. No renunciamos a la Amnistia, ni la Democracia, ni a la defensa de los Derechos Humanos con los que nosotros siempre, indudablemente, hemos estado plenamente comprometidos"" https://t.co/FUUWdXvumN";presidencia
"“Dejadme las alas en su sitio, que os respondo que volaré bien”.

Los fascistas asesinaron a Lorca hace 85 años por rojo y maricón. Le debemos memoria, justicia y reparación. Sus alas siguen siendo hoy ejemplo para hacer frente al fascismo y construir democracia.";justicia
"La llei d'Internalització del Transport Sanitari que proposem permetrà:
➡️ Prestar un servei de major qualitat
➡️ Fiscalitzar correctament on van a parar els diners públics
➡️ Equiparar i millorar les condicions laborals (sou, seguretat...) del personal
??
https://t.co/4QnYZXn4t1";empresa i treball
"In-de-pen-dent.
Sense eufemismes, sense vergonya, sense subterfugis, sense por. https://t.co/Zs5bt1HrPg";presidencia
Entrevista del 12 de diciembre de 2020. Ante la incredulidad de muchos y muchas, y la burla de la derecha política, @salvadorilla anunciaba que al final del verano el 70% de la población estaría vacunada. Hoy hemos llegado al 72%. @socialistes_cat https://t.co/ClNNKOjMDX;autopromocio
