username,tweet_id,created_at,content,retweets,favs
salvametralla,1356343626348040197,2021-02-01 20:48:14,"@chefilo @Abengoa @abengoashares @CasaReal #Lunes1
#BienvenidoFebrero
#Belén 
#Bianca
#kikopantofin
#DebateCATrtve
#FelizLunes
#barcaathletic
#Westbrook
#SalvemosAbengoa

@diariosevilla
@a_grimaldi

#renovables
#ClementePresidente
@Abengoa 
@abengoashares
#españa
#abengoa",3,3
salvametralla,1356342970509885440,2021-02-01 20:45:38,"@chefilo @Astura03239086 @sanchop47488353 @Nachofr15 @abengoashares @CasaReal @A_Grimaldi @sanchezcastejon @PabloIglesias @pablocasado_ @TrabajadoresAbg @fiscal_es @SUP_CGSC_BMovil @bancosantander @CNMV_MEDIOS @JosepBorrellF #Lunes1
#BienvenidoFebrero
#Belén 
#Bianca
#kikopantofin
#DebateCATrtve
#FelizLunes
#barcaathletic
#Westbrook
#SalvemosAbengoa

@diariosevilla
@a_grimaldi

#renovables
#ClementePresidente
@Abengoa 
@abengoashares
#españa
#abengoa",1,1
salvametralla,1356342925211398146,2021-02-01 20:45:27,"@Astura03239086 @chefilo @sanchop47488353 @Nachofr15 @abengoashares @CasaReal @A_Grimaldi @sanchezcastejon @PabloIglesias @pablocasado_ @TrabajadoresAbg @fiscal_es @SUP_CGSC_BMovil @bancosantander @CNMV_MEDIOS @JosepBorrellF #Lunes1
#BienvenidoFebrero
#Belén 
#Bianca
#kikopantofin
#DebateCATrtve
#FelizLunes
#barcaathletic
#Westbrook
#SalvemosAbengoa

@diariosevilla
@a_grimaldi

#renovables
#ClementePresidente
@Abengoa 
@abengoashares
#españa
#abengoa",1,2
salvametralla,1356342688547745804,2021-02-01 20:44:31,"@santiagoelvira1 @Abengoa @abengoashares @desdelamoncloa #Lunes1
#BienvenidoFebrero
#Belén 
#Bianca
#kikopantofin
#DebateCATrtve
#FelizLunes
#barcaathletic
#Westbrook
#SalvemosAbengoa

@diariosevilla
@a_grimaldi

#renovables
#ClementePresidente
@Abengoa 
@abengoashares
#españa
#abengoa",2,2
salvametralla,1356342664082415618,2021-02-01 20:44:25,"#Lunes1
#BienvenidoFebrero
#Belén 
#Bianca
#kikopantofin
#DebateCATrtve
#FelizLunes
#barcaathletic
#Westbrook
#SalvemosAbengoa

@diariosevilla
@a_grimaldi

#renovables
#ClementePresidente
@Abengoa 
@abengoashares
#españa
#abengoa https://t.co/2MlSYkq3FQ",1,1
Gava_EnComu,1356342275257806850,2021-02-01 20:42:52,"🥇 MINUT D'OR de @jessicaalbiach al #DebateCATrtve:

🙋‍♀️ ""Després d'anys de soroll i retrets, hem de ser honestos i dir la veritat, explicar on anirà el teu vot. El vot a ECP és un vot segur per un govern d'esquerres, acabar amb el desgovern i portar #ElCanviQueCatalunyaMereix."" https://t.co/Gl1LYl8ZH7",0,0
salvametralla,1356342194777583616,2021-02-01 20:42:33,"@sanchop47488353 @abengoashares #Lunes1
#BienvenidoFebrero
#Belén 
#Bianca
#kikopantofin
#DebateCATrtve
#FelizLunes
#barcaathletic
#Westbrook
#SalvemosAbengoa

@diariosevilla
@a_grimaldi

#renovables
#ClementePresidente
@Abengoa 
@abengoashares
#españa
#abengoa",1,1
salvametralla,1356339655017451521,2021-02-01 20:32:27,"@chefilo @abengoashares @CasaReal @diariosevilla @TrabajadoresAbg @fiscal_es @SUP_CGSC_BMovil #Lunes1
#BienvenidoFebrero
#Belén 
#Bianca
#kikopantofin
#DebateCATrtve
#FelizLunes
#barcaathletic
#Westbrook
#SalvemosAbengoa

@diariosevilla
@a_grimaldi

#renovables
#ClementePresidente
@Abengoa 
@abengoashares
#españa
#abengoa",6,6
salvametralla,1356339488742633474,2021-02-01 20:31:48,"@PereteBolsa @abengoashares @PSOE #Lunes1
#BienvenidoFebrero
#Belén 
#Bianca
#kikopantofin
#DebateCATrtve
#FelizLunes
#barcaathletic
#Westbrook
#SalvemosAbengoa

@diariosevilla
@a_grimaldi

#renovables
#ClementePresidente
@Abengoa 
@abengoashares
#españa
#abengoa",2,2
salvametralla,1356338507237748738,2021-02-01 20:27:54,"@abengoashares #Lunes1
#BienvenidoFebrero
#Belén 
#Bianca
#kikopantofin
#DebateCATrtve
#FelizLunes
#barcaathletic
#Westbrook
#SalvemosAbengoa

@diariosevilla
@a_grimaldi

#renovables
#ClementePresidente
@Abengoa 
@abengoashares
#españa
#abengoa",4,4
salvametralla,1356337958996094978,2021-02-01 20:25:43,"@Gman87981180 @GobiernoDeEspan #Lunes1
#BienvenidoFebrero
#Belén 
#Bianca
#kikopantofin
#DebateCATrtve
#FelizLunes
#barcaathletic
#Westbrook
#SalvemosAbengoa

@diariosevilla
@a_grimaldi

#renovables
#ClementePresidente
@Abengoa 
@abengoashares
#españa
#abengoa",2,2
Dolors63,1356337363740487684,2021-02-01 20:23:21,"@amnistiaespana Algunos trabajarón muy concienzudamente para que eso sucederia, y la físcalia no hace nada, ayer uno de sus representantes    @alejand85751089  daba lecciones en la #DebateCATrtve ustedes votarian a quienes les han hecho esto? https://t.co/pCt8g8iGO7",1,0
salvametralla,1356337171859443713,2021-02-01 20:22:35,"@juananpero @Abengoa @desdelamoncloa @abengoashares @sanchezcastejon @PabloIglesias #Lunes1
#BienvenidoFebrero
#Belén 
#Bianca
#kikopantofin
#DebateCATrtve
#FelizLunes
#barcaathletic
#Westbrook
#SalvemosAbengoa

@diariosevilla
@a_grimaldi

#renovables
#ClementePresidente
@Abengoa 
@abengoashares
#españa
#abengoa",2,2
Gacetinmadrid,1356337113470554124,2021-02-01 20:22:22,"'“Yo solo hablo en catalán” y el independentismo de niñatos', por Carmen Esteban, por @carmenestebann

#Opinión #Madrid #Eleccions14F #EleccionesCatalanas #Elecciones14F #DebateCATrtve https://t.co/IK8OoF97nw",0,2
salvametralla,1356336641053487105,2021-02-01 20:20:29,"@MingoT_80 @bancosantander @ICOgob #Lunes1
#BienvenidoFebrero
#Belén 
#Bianca
#kikopantofin
#DebateCATrtve
#FelizLunes
#barcaathletic
#Westbrook
#SalvemosAbengoa

@diariosevilla
@a_grimaldi

#renovables
#ClementePresidente
@Abengoa 
@abengoashares
#españa
#abengoa",4,4
MaribelFAlonso,1356334442491629570,2021-02-01 20:11:45,"@cla_res_se Esto dice: 
I @jessicaalbiach parlant en castellà en el debat. No tenen punyetera vergonya.
#DebateCATrtve",0,0
_Hegemonia_,1356331809945088001,2021-02-01 20:01:17,"🗳️Estas elecciones catalanas son una prueba de estrés para el sistema político. ¿Cómo hemos llegado hasta aquí?🤷🏻‍♀️
🎓Nuestro equipo de trabajo te las explica desde la disciplina de la ciencia política en nuestras redes sociales.
#14FCatalunyaHegemonía #14Fcatalunya #DebateCATrtve https://t.co/tnu7l1rmMK",4,3
fitzgeraljazz,1356330647590211590,2021-02-01 19:56:40,"""El cambio real en Cataluña es posible"" 👏👏
Se llama Alejandro Fernández

@alejandroTGN  @PPCatalunya  #DebateCATrtve https://t.co/j32gN1N7mg",0,0
Monch629,1356330078121185281,2021-02-01 19:54:24,"Ayer se vivió una de las mayores vergüenzas televisivas de la historia en la televisión pública @rtve con un debate a 9 con intérpretes, y para colmo, tachando de anticonstitucional a @vox_es estando en el mismo plató La Cup.  #EleccionesCatalanas #Elecciones14F #DebateCATrtve",0,0
fitzgeraljazz,1356327823078780928,2021-02-01 19:45:27,"👏👏¡Alto y claro! @alejandroTGN 

Para hacer un buen proyecto, hay que hacer un buen diagnóstico, un análisis de la situación. Esa es la propuesta #UnaCataluñaMejor  👇👇

#DebateCATrtve https://t.co/qPZnHheTWs",0,2
fitzgeraljazz,1356325973856301064,2021-02-01 19:38:06,"👍👍 Bravo, @alejandroTGN 

Fuerte convicción y credibilidad. El líder necesario para #UnaCataluñaMejor 

#DebateCATrtve https://t.co/zien6CkBMv",0,2
pinochojusti,1356325438147198976,2021-02-01 19:35:58,@AidaLlaurado @jessicaalbiach @EnComu_Podem @BdnEnComuPodem @podembadalona @CatEnComu @EUBadalona Clarament @jessicaalbiach la millor candidata #DebateCATrtve.dice la felpudo 🤓Molta gent encara no la coneixia i ha pogut veure com @EnComu_Podem som luna estafa d'un govern Ñordo que no doni solucions a la gent defensant els seus enchufes vividores del poco trabajar,0,0
MarkieBrown91,1356325365749317633,2021-02-01 19:35:41,"Orgull provincià.
Orgull maleducat.
#EnCatalà

#Catalunya #DebateCATrtve @JuntsXCat @Esquerra_ERC @cupnacional @LauraBorras @perearagones @carlesral @mariadolorsa https://t.co/rdIGQUwa6e https://t.co/lwhcIDeNxj",2,5
PD_Eixample,1356323217800101891,2021-02-01 19:27:09,"No us perdeu el minut d'or de l'@angelschacon al #DebateCATrtve.

#SiThoPensesPDeCAT https://t.co/jGbADlOPgh",0,2
OBarracchini,1356322047996129282,2021-02-01 19:22:30,"Por cierto, de los q hablan en catalán no se x la traducción, pero lo q hablan en castellano o se les complica x falta de práctica o el nivel de oratoria es realmente bajito..#DebateCATrtve",0,0
fitzgeraljazz,1356318600068476930,2021-02-01 19:08:48,"👏👏 Ningún discurso político de esas tribunas, resulta tan convincente, tan creíble, como estas palabras de Alejandro Fernández. 

¡Un gobierno nuevo, un gobierno mejor para una Cataluña mejor! y ... su compromiso personal👍👍

#UnaCataluñaMejor @alejandroTGN  #DebateCATrtve https://t.co/9S9WTeCnXS",0,0
jmllg,1356315592085680130,2021-02-01 18:56:50,"#DebateCATrtve @jessicaalbiach aspira a ser el Pablo Iglesias a la catalana en un govern socialista. Com aquell que encara ha de derogar la llei mordaza, per exemple i saluda la monarquia.",1,0
