133, gobierno        día     eliminar  impuesto      facilitar  autoconsumo    proteger  consumidor vulnerable    laespañaquehacemos           ,8,accio climatica alimentacio i agenda rural
177,informe  evaluación global  naciones unidas     alteraciones  sistema climático   precedentes     modificaciones    subida  nivel  mar   irreversibles  miles  años  alertan  expertos  ipcc   ,8,accio climatica alimentacio i agenda rural
395, incendios  vuelto  golpearnos duramente  verano   toca ayudar    sufrido  efectos     catástrofes naturales          gobierno  habilitamos  ayudas necesarias  asegurar   afectados  recuperación justa   cmin  ,8,accio climatica alimentacio i agenda rural
429,atento    situación   ifazuébar   castellón    solidaridad   vecinos  vecinas desalojados  imagino  dolor  preocupación   inmenso agradecimiento    brif     protección civil     servicios  emergencias  luchan   fuego ,8,accio climatica alimentacio i agenda rural
442, zonas  españa alcanzarán   temperaturas superiores  40     riesgo  incendios   prudentes    salud   sigamos  indicaciones          fcse    días trabajarán  protegernos    oladecalor  ,8,accio climatica alimentacio i agenda rural
598, ocurrido   mar menor  fruto   inacción    gob  murciano    ejercer  competencias     gob        asunto  absoluta sensibilidad   proyectos concretos   recuperación   ecosistemas   zona           cmin  ,8,accio climatica alimentacio i agenda rural
603,garantizar   adquisitivo   pensiones  reforzar  sostenibilidad financiera  social    objetivo      dotar  sistema  certidumbre    mantenimiento   pensiones  continuar trabajando  respaldar  equilibrio  sistema     cmin  ,8,accio climatica alimentacio i agenda rural
722,lucidesa  claredat     dit    canvi estructural  sistema energètic   torni   públic     bé comú  bona feina        ,8,accio climatica alimentacio i agenda rural
725,   mercat energètic espanyol   estafa   model basat   grans oligopolis energètics   mans  capitalisme  ferotge     portes giratòries   presents        donar   tomb   persones  centre  preus justos  lliure oligopolis   ,8,accio climatica alimentacio i agenda rural
847,  tomacó   cooperatives conca   tordera  pallafols         malgratdemar    residències  gent             impulsem  iniciativa   marc   anyinternacionalfruitesiverdures  ,8,accio climatica alimentacio i agenda rural
1296, presons catalanes   pensades    dones    realitat    canviar     incorporarem  visió  gènere    rehabilitació   internes    tasca   funcionàries  construint   centre creat  pensat      ,8,accio climatica alimentacio i agenda rural
1457,  acordat fer  prat  aeroport intercontinental  connexió ave   aeroports  reus  girona  20min   infraestructura  necessita economia   país   propers anys   lowcost   sostenibilitat    ,8,accio climatica alimentacio i agenda rural
1560,    lauraborras   tordera       concert  sau   ,8,accio climatica alimentacio i agenda rural
1697,     une  8h   signes vitaux   planète s affaiblissent sous  coups  économie mondiale  ont   garde  scientifiques  premier plan  s inquiétant  imminence possible  certains points  rupture climatiques  afp 2 5  ,8,accio climatica alimentacio i agenda rural
1862,     ampliació  aeroport  prat  afectaria   salut   benestar físic  emocional  catalans  catalanes    explica       deixeu  llegir    ,8,accio climatica alimentacio i agenda rural
1864, único verde    ampliación  aeropuerto   elprat   billetes       embolsarán sacrificando  contemplaciones   personas   territorio    viven        pisarello    ,8,accio climatica alimentacio i agenda rural
1865, llenaron  mar menor  bloques  cemento     pesticidas  fertilizantes       dejar  verter agua contaminada  mandan  egea  bañarse   ,8,accio climatica alimentacio i agenda rural
1888,fraga  bañó  palomares   ahuyentar  turismo   garcía egea     mar menor   vivo      casado  bañará   demostrarlo    recordemos  fraga      mar menor      llenar  hoteles     ,8,accio climatica alimentacio i agenda rural
1896,traducció    senyors aena      favor  destruir  delta  llobregat    contaminació   emissions augmentin   brutal   gentrificar bcn   deixeu    fer    ,8,accio climatica alimentacio i agenda rural
1965,vivir             transición verde  necesita   potente transición justa  concreta  cuantificada      elemento  equidad       elemento imprescindible   desarrollo     ,8,accio climatica alimentacio i agenda rural
2107,  anys   bosc   representa   60    país     context emergència climàtica   estius  cops  calors   pluges  cuidar  país vol dir fer  resilient   incendis   debats  futur   debats  grans esdeveniments  passat  ,8,accio climatica alimentacio i agenda rural
2147,    esforços      nit   ifllançà continua inestable  obert   esperança  ajuda  mitjans aeris porti bones notícies    estiu sec  calorós  cuidem  medi natural   bombers   abraçada  forta    gent   alt empordà   ,8,accio climatica alimentacio i agenda rural
2151,preocupada   notícies  arriben  alemanya     escalf   persones afectades     vegada   evidents  conseqüències  canvi climàtic    futur possible  verd  té forma  transició ecològica    ,8,accio climatica alimentacio i agenda rural
2174,     defendido  campaña  ministerio  consumo   consumo  responsable  carne    ,8,accio climatica alimentacio i agenda rural
2214,debemos actuar      desastre ecológico   mar menor      creación   marmenorparqueregional  dotar   laguna   máxima protección jurídica     moratoria urbanística indefinida  frente   pelotazos inmobiliarios    ,8,accio climatica alimentacio i agenda rural
