,Text,Clase
0,"El devastador incendi de la Conca de Barberà i l'Anoia ha requerit 4 setmanes de treball conjunt de cossos de seguretat i emergències, municipis, voluntariat i pagesos. Avui he agraït la seva tasca lloable. L'incendi s'ha extingit, però no permetrem que la zona caigui en l'oblit. https://t.co/IqywriVHGU",accio exterior i govern obert
1,"La meva més absoluta condemna. L'odi i la violència no tenen cabuda en democràcia. Cal unitat i fermesa contra les amenaces. Les diferències s'entomen amb diàleg i respecte. Tot el meu suport, alcalde @marccastells https://t.co/lMYH8pJonj",accio exterior i govern obert
2,"Nova visita de Salvador Illa a l’Anoia. Visitant i escoltant el territori, especialment les zones afectades per l’incendi. 
És important que un cop extingit no passi a l’oblid. La declaració de zona greument afectada per part del govern d’Espanya ha de ser una ajuda pels municipi https://t.co/KAF6ezcBJ5",autopromocio
3,"El Govern d'Espanya treballa perquè les famílies puguin integrar-se i construir una nova vida a casa nostra al més aviat possible, tenint en compte les seves necessitats a l'hora d'assignar els centres d'acollida.

Benvinguts i benvingudes a #Catalunya. https://t.co/COsZQeDR1t",autopromocio
4,"👉🏻 El cap de l’Oposició a Catalunya ha visitat aquest matí la zona afectada per l’incendi de la Conca de Barberà i l’Anoia.

🗣 @salvadorilla: “El risc que cal evitar és que una vegada s’ha apagat l’incendi ens oblidem del territori”.

#PSC/❤️

https://t.co/XRTDWG3z83",presidencia
5,"Avui acompanyant @salvadorilla  en la seva visita a Bellprat per conèixer, de la mà dels alcaldes i regidors de la zona, els efectes del terrible incendi de fa un mes. Ens han traslladat👇 https://t.co/8RBPu3hZSl",autopromocio
6,"Us vull compartir l'entrevista que m'ha fet el periodista @jordialemanyg del diari @elpuntavui 
Gràcies per la teva professionalitat i el teu interès, estic molt agraïda.
En aquesta entrevista coneixereu una mica més sobre mi.

https://t.co/FbggbstIHE",autopromocio
7,"🌍 Hem de fer tots un esforç perquè Catalunya es prepari encara millor per poder fer front a episodis derivats del canvi climàtic.

🌹 El Grup Parlamentari Socialista es compromet a aportar idees i propostes constructives per abordar aquests temes.

🗣 @salvadorilla 

#PSC/❤️ https://t.co/BWNEw8LL3p",autopromocio
8,"📄 El #CMin ha acordat aquesta setmana declarar zones catastròfiques totes aquelles que han patit incendis.

✅ És una ajuda rellevant en matèria de recursos econòmics per poder pal·liar els danys que s'han patit en tots aquests territoris.

🗣 @salvadorilla

#PSC/❤️ https://t.co/jo7wunCGF2",autopromocio
9,"🤝 Per ajudar a pal·liar els danys d’aquesta desgràcia és necessari un treball conjunt i coordinat de totes les administracions.

👉🏻 Hem de treballar conjuntament, eliminant discussions estèrils, per poder aconseguir aquests tres objectius.

🗣 @salvadorilla 

#PSC/❤️ https://t.co/MOZ0RJJmdO",autopromocio
