,original,clase
0,"Ya tenemos en España a las 177 personas repatriadas en las últimas horas desde Afganistán. Son 110 afganos colaboradores de España y otros 67 colaboradores de EE.UU.

La ministra de @Defensagob y el JEMAD reciben a este séptimo avión en la Base Aérea de Torrejón.
Seguimos. https://t.co/lM3RxAGyoZ",immigracio
1,"""El futuro pertenece a los patriotas"". El mensaje esperanzador, de fuerza y de confianza en el futuro de Abascal a los españoles en el día de Santiago Apóstol, patrón de España. Por @rebecacrespo_ https://t.co/HfmlV1F5tS",presidencia
2,"El passat juliol, amb 112 vots a favor i 20 en contra, vam aprovar una moció de @cupnacional per impulsar una energètica pública.

Es evident (i urgent) que cal, quan abans millor, que es posi a caminar.

https://t.co/ntW5Bx8LB3",accio climatica alimentacio i agenda rural
3,".@educaciocat posa en marxa #UsApps la web app de denúncia de les situacions de violència en els centres educatius 
#LesEscolesLliuresDeViolències 
https://t.co/bUbVXg6jyq https://t.co/c9HWaaa5NK",educacio
4,@cuquemar Don @AntonioGalleg0 ????,autopromocio
5,"""L’augment previst de 17 milions de passatgers significaria un augment del 33% de les emissions de diòxid de carboni. I estem en una situació en què ja hauríem de reduir cada any les emissions de CO2 un 7,5% a nivell global, segons l’ONU."" @niunpamdeterra https://t.co/FebhkxRkHj https://t.co/vddEhLIHrC",accio climatica alimentacio i agenda rural
6,"??[VÍDEO]@junqueras a @LaVanguardia:""Nuestro compromiso con la Amnistia es absoluto. No renunciamos a la Amnistia, ni la Democracia, ni a la defensa de los Derechos Humanos con los que nosotros siempre, indudablemente, hemos estado plenamente comprometidos"" https://t.co/FUUWdXvumN",presidencia
7,"“Dejadme las alas en su sitio, que os respondo que volaré bien”.

Los fascistas asesinaron a Lorca hace 85 años por rojo y maricón. Le debemos memoria, justicia y reparación. Sus alas siguen siendo hoy ejemplo para hacer frente al fascismo y construir democracia.",justicia
8,"La llei d'Internalització del Transport Sanitari que proposem permetrà:
➡️ Prestar un servei de major qualitat
➡️ Fiscalitzar correctament on van a parar els diners públics
➡️ Equiparar i millorar les condicions laborals (sou, seguretat...) del personal
??
https://t.co/4QnYZXn4t1",empresa i treball
9,"In-de-pen-dent.
Sense eufemismes, sense vergonya, sense subterfugis, sense por. https://t.co/Zs5bt1HrPg",presidencia
10,"Entrevista del 12 de diciembre de 2020. Ante la incredulidad de muchos y muchas, y la burla de la derecha política, @salvadorilla anunciaba que al final del verano el 70% de la población estaría vacunada. Hoy hemos llegado al 72%. @socialistes_cat https://t.co/ClNNKOjMDX",autopromocio
11,"""No entendemos que el Gobierno no declare zona catastrófica el Mar Menor, no es justo. Eso era la España multinivel"". 

El Gobierno de López Miras ha pedido al Gobierno que deje las discusiones para buscar soluciones y frenar ya la llegada de agua contaminada.

??️ @cucagamarra",accio climatica alimentacio i agenda rural
12,Hem gaudit amb la Marta d'uns dies en família. Gràcies per tot. No pararem de treballar fins la llibertat de totes les persones exiliades i fins la llibertat del nostre país. T'estimem! https://t.co/9pgcUK4vBv,presidencia
13,"85 años de la masacre de Badajoz. 4000 personas fusiladas, pero el carnicero Yagüe sigue teniendo calles con su nombre y Pablo Casado sigue negando que hubiera un golpe franquista.
https://t.co/PomZWiIWmZ",presidencia
14,"??️VOX se querella contra el 'Govern' por el fondo para las fianzas del Tribunal de Cuentas.
@Igarrigavaz: ""Su objetivo es financiar las causas judiciales de los golpistas y utilizar el dinero público para blindar a los que promueven el odio y la división"". https://t.co/cof003PSuY",presidencia
15,"Avui fa 4 anys, la solidaritat va vèncer la por. Recordarem sempre el 17 d’agost per la força, la determinació i el ferm compromís per la pau del poble de Catalunya. Un sentit record per als que ens van deixar i una forta abraçada a les seves famílies. #17A",justicia
